record_id,parcel_number,tax_period,principal,interest,penalty,other,total,lien_number
8820705101995,882070510,1995,902.88,1591.32,63.20,174.64,2732.04,1506R95062702
4420250001994,442025000,1994,288.91,526.53,20.22,174.02,1009.68,1512R94942745
2021477001991,202147700,1991,152.06,304.50,10.64,444.80,912.00,1512R91958750
6634533002011,663453300,2011,0.00,197.34,131.56,153.70,482.60,1512R11633432
5923073002011,592307300,2011,688.49,263.34,48.19,203.60,1203.62,1512R11632204
1930217012015,193021701,2015,36.98,0.83,0.74,2.31,40.86,
6313139012016,631313901,2016,2480.45,0.00,0.00,0.00,2480.45,
3231823002011,323182300,2011,16.71,6.40,1.17,4.37,28.65,
1611429001999,161142900,1999,130.77,191.25,9.15,41.07,372.24,1512R99828315
5130307002002,513030700,2002,565.65,674.54,39.60,97.99,1377.78,1512R02790834
4214376002016,421437600,2016,995.26,0.00,0.00,0.00,995.26,
8715160202016,871516020,2016,855.28,0.00,0.00,0.00,855.28,
4910236002013,491023600,2013,571.72,115.78,40.02,154.55,882.07,1512R13557924
4913157002005,491315700,2005,15.20,14.02,1.06,5.45,35.73,
5213163002015,521316300,2015,958.50,21.57,19.17,151.86,1151.10,1603R15080377
3653675002007,365367500,2007,389.26,289.03,27.25,63.53,769.07,1512R07718645
3310751002013,331075100,2013,143.83,29.13,10.07,32.18,215.21,1512R13545887
6211674102016,621167410,2016,251.96,0.00,0.00,0.00,251.96,
1020820032016,102082003,2016,1345.21,0.00,0.00,0.00,1345.21,
3722599002012,372259900,2012,319.33,93.40,22.35,101.91,536.99,1512R12589238
0310941002013,031094100,2013,686.78,139.07,48.07,73.64,947.56,1512R13525316
3112191002006,311219100,2006,550.45,458.25,38.53,212.10,1259.33,1512R06734450
6522741002013,652274100,2013,101.28,20.51,7.09,28.93,157.81,1512R13564057
8715111402015,871511140,2015,752.01,16.92,15.04,138.94,922.91,1603R15086912
4712760101981,471276010,1981,147.49,383.85,10.32,10.00,551.66,1512R81920993
3946155002016,394615500,2016,0.01,0.00,0.00,0.00,0.01,
4720697001993,472069700,1993,30.41,57.24,2.13,39.76,129.54,L930011241
